City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kanigoro,ID,77.79,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
1,Faanui,PF,81.61,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,Busselton,AU,70.0,clear sky,-33.65,115.3333,Observatory Guest House
8,Mpulungu,ZM,71.08,light rain,-8.7623,31.1141,Nhkupi Lodge
10,Atuona,PF,78.48,clear sky,-9.8,-139.0333,Villa Enata
13,Bol,TD,73.22,overcast clouds,13.4586,14.7147,Hotel 3 Etoiles
14,Carnarvon,AU,77.0,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
15,East London,ZA,72.97,light rain,-33.0153,27.9116,Tu Casa
19,Hilo,US,78.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
21,Mar Del Plata,AR,70.0,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
25,Mitsamiouli,KM,80.64,clear sky,-11.3847,43.2844,Foyer ADM
29,Avarua,CK,87.8,scattered clouds,-21.2078,-159.775,Paradise Inn
32,Souillac,MU,71.6,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
34,Sola,VU,82.67,moderate rain,-13.8833,167.55,Leumerus Bungalows
36,Innisfail,AU,83.23,overcast clouds,-17.5333,146.0333,Moondarra Motel
38,Bluff,NZ,73.0,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
43,Kruisfontein,ZA,70.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
46,Dumbea,NC,89.6,scattered clouds,-22.15,166.45,"Tour du Monde, le gîte des voyageurs en Nouvelle Calédonie"
48,Rikitea,PF,80.53,scattered clouds,-23.1203,-134.9692,Pension Maro'i
51,Andros Town,BS,75.43,clear sky,24.7,-77.7667,Hanks place
52,Muisne,EC,77.27,light rain,0.6,-80.0333,Quinta Samay
54,Puerto Ayora,EC,77.0,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
56,Kalmunai,LK,75.06,overcast clouds,7.4167,81.8167,VS Villa
59,Bambous Virieux,MU,75.0,few clouds,-20.3428,57.7575,Casa Tia Villa
65,Mataura,NZ,73.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
66,Arraial Do Cabo,BR,78.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
69,Mvomero,TZ,72.66,scattered clouds,-6.25,38.6667,Kisampa Bush Retreat
73,Pundaguitan,PH,80.89,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
76,Kieta,PG,87.71,overcast clouds,-6.2167,155.6333,
78,Chuy,UY,73.26,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
80,Pochutla,MX,80.01,clear sky,15.7432,-96.4661,Hotel Posada San Jose
84,Progreso,MX,81.0,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
85,Inhambane,MZ,77.81,overcast clouds,-23.865,35.3833,Oceano
88,Kapaa,US,75.99,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
92,Olinda,BR,73.4,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
93,Iracoubo,GF,77.54,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
94,Kuala Kangsar,MY,75.2,few clouds,4.7667,100.9333,"KS Lavender Homestay, Kuala Kangsar"
96,Talisay,PH,80.6,overcast clouds,10.2447,123.8494,RedDoorz near Talisay District Hospital
97,Puntarenas,CR,77.95,clear sky,9.9763,-84.8384,Michael's Surfside Hotel
99,Manuk Mangkaw,PH,80.94,scattered clouds,4.8,119.85,
100,San Patricio,US,71.6,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
104,Mahebourg,MU,71.6,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
114,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
120,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
122,Tual,ID,82.85,light rain,-5.6667,132.75,Grand Vilia Hotel
124,Kudahuvadhoo,MV,80.92,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
125,Hithadhoo,MV,80.96,overcast clouds,-0.6,73.0833,Scoop Guest House
128,Inirida,CO,73.85,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
129,Pyu,MM,73.36,clear sky,18.4833,96.4333,Mr Bo Bo
135,Tecoanapa,MX,76.84,few clouds,16.5167,-98.75,Hotel Manglares
136,Lahaina,US,82.4,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
137,Bull Savanna,JM,72.34,few clouds,17.8868,-77.5902,Big Red's
139,Guariba,BR,75.2,clear sky,-21.36,-48.2283,Rua Odilon Miguel Pacifico
140,Vaini,TO,82.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
141,Butaritari,KI,81.43,clear sky,3.0707,172.7902,Isles Sunset Lodge
144,Salvador,SV,78.8,few clouds,13.8333,-88.9167,Chico's Ranch
146,Ternate,ID,82.99,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
147,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
150,Mandera,KE,72.3,clear sky,3.9366,41.867,Kornesh Hotel and Lodging
151,Sao Filipe,CV,72.68,clear sky,14.8961,-24.4956,Tortuga B&B
157,Dhidhdhoo,MV,80.51,overcast clouds,6.8833,73.1,Dhidhoo beach
160,Angoche,MZ,76.28,clear sky,-16.2325,39.9086,Guest House HESADA
161,Mildura,AU,75.2,clear sky,-34.2,142.15,Mercure Hotel Mildura
167,Saint-Philippe,RE,75.2,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
170,Porto Novo,BJ,77.79,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
176,Majene,ID,86.04,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
177,Dunmore Town,BS,75.49,broken clouds,25.5,-76.65,Coral Sands Hotel
179,Tuy Hoa,VN,73.76,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
182,Kaitangata,NZ,77.0,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
183,Ahuimanu,US,80.6,broken clouds,21.4447,-157.8378,Paradise Bay Resort
185,Lobito,AO,75.47,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
195,Meulaboh,ID,78.03,overcast clouds,4.1363,96.1285,Kost Pria
197,Tsabong,BW,75.31,light rain,-26.0217,22.401,Springbok Motel
203,Nkhotakota,MW,72.54,light rain,-12.9274,34.2961,Sitima Inn
206,Yulara,AU,77.0,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
207,Forecariah,GN,71.37,clear sky,9.4306,-13.0881,"Motel "" La Maison Blanche"""
211,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
212,Padang,ID,78.8,few clouds,-0.9492,100.3543,Mercure Padang
218,Wellington,NZ,75.2,few clouds,-41.2866,174.7756,CityLife Wellington
221,Chivacoa,VE,70.39,scattered clouds,10.1603,-68.895,Hotel Fache C.A
224,Ambovombe,MG,74.07,broken clouds,-25.1667,46.0833,RELAHARA
226,Kavaratti,IN,80.58,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
227,Dingle,PH,80.46,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
234,Imbituba,BR,77.0,light rain,-28.24,-48.6703,Praia Hotel Imbituba
236,Gorontalo,ID,87.66,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
237,Omboue,GA,77.43,light rain,-1.5746,9.2618,Hotel Olako
238,Tenabo,MX,79.97,clear sky,20.05,-90.2333,HOSPEDAJE MARTINEZ
241,Puerto Escondido,MX,77.94,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
243,Fomboni,KM,81.77,clear sky,-12.28,43.7425,Auberge les abou
244,Richards Bay,ZA,76.06,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
247,Cidreira,BR,74.79,light rain,-30.1811,-50.2056,Hotel Castelo
248,Kantunilkin,MX,72.64,clear sky,21.0917,-87.45,Posada Paraiso
252,Poum,NC,81.91,overcast clouds,-20.2333,164.0167,Gîte kajeon
253,Bengkulu,ID,74.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
257,Mackay,AU,89.01,few clouds,-21.15,149.2,International Lodge Motel
266,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
269,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
273,Cockburn Town,TC,75.72,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
276,Moree,AU,95.0,broken clouds,-29.4667,149.85,Molika Springs Motel
280,Dunedin,NZ,73.17,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
282,Labuan,MY,82.4,few clouds,5.2767,115.2417,Tiara Labuan Hotel
286,Vao,NC,76.8,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
287,Puerto Colombia,CO,80.13,clear sky,10.9878,-74.9547,Hotel El Emigrante
291,Celestun,MX,82.22,broken clouds,20.8667,-90.4,Posada Lilia
292,Honiara,SB,80.17,light rain,-9.4333,159.95,Heritage Park Hotel
298,Cikupa,ID,82.99,scattered clouds,-6.2364,106.5083,Baguos Priyo Satiaji
300,Pangoa,PE,70.03,overcast clouds,-12.1167,-73.0,
301,Tonantins,BR,73.74,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
303,Edd,ER,73.76,clear sky,13.9297,41.6925,
312,Charlestown,AU,72.0,overcast clouds,-32.95,151.6667,Panorama Motor Inn Hotel
314,Port Shepstone,ZA,74.86,overcast clouds,-30.7414,30.455,My Den Beachfront B&B And Self-Catering
316,Broken Hill,AU,73.4,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
318,Kralendijk,BQ,78.8,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
319,Sinfra,CI,75.2,haze,6.6167,-5.9167,Hote Ivoire Sinfra
322,Ugoofaaru,MV,81.16,overcast clouds,5.6667,73.0,Ungoofaaru Inn
327,Ladario,BR,80.13,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
329,Mersing,MY,78.8,scattered clouds,2.4312,103.8405,Timotel Hotel
332,Isangel,VU,84.2,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
335,Atambua,ID,80.85,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
336,Bandarbeyla,SO,72.21,scattered clouds,9.4942,50.8122,JABIR HOTEL
339,Salinopolis,BR,79.7,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
348,Lisala,CD,71.13,clear sky,2.15,21.5167,
349,Buala,SB,84.52,light rain,-8.145,159.5921,Maringe Lagoon Lodge
354,Mitu,CO,72.54,overcast clouds,1.1983,-70.1733,
362,Kloulklubed,PW,82.17,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
