City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kanigoro,ID,-8.13,112.219,77.79,82,96,2.66,overcast clouds
1,Faanui,PF,-16.4833,-151.75,81.61,74,51,17.45,broken clouds
2,Saskylakh,RU,71.9167,114.0833,-35.52,82,35,2.04,scattered clouds
3,Ponta Do Sol,PT,32.6667,-17.1,62.6,77,40,3.44,scattered clouds
4,Vesoul,FR,47.5833,5.8333,30.2,93,0,6.91,clear sky
5,Lincoln,US,40.8,-96.667,18.0,67,90,10.36,overcast clouds
6,Ushuaia,AR,-54.8,-68.3,39.2,75,75,19.57,light snow
7,Busselton,AU,-33.65,115.3333,70.0,59,1,5.99,clear sky
8,Mpulungu,ZM,-8.7623,31.1141,71.08,74,93,3.83,light rain
9,Ekibastuz,KZ,51.6667,75.3667,23.31,96,92,16.02,overcast clouds
10,Atuona,PF,-9.8,-139.0333,78.48,79,2,17.07,clear sky
11,Warrington,GB,53.3925,-2.5802,48.2,93,90,13.8,overcast clouds
12,Khatanga,RU,71.9667,102.5,-25.56,82,35,9.26,scattered clouds
13,Bol,TD,13.4586,14.7147,73.22,33,90,17.6,overcast clouds
14,Carnarvon,AU,-24.8667,113.6333,77.0,50,40,29.93,scattered clouds
15,East London,ZA,-33.0153,27.9116,72.97,86,100,9.17,light rain
16,Victoria,HK,22.2855,114.1577,66.0,75,13,3.0,few clouds
17,Port Alfred,ZA,-33.5906,26.891,68.0,96,100,5.61,moderate rain
18,Qaanaaq,GL,77.484,-69.3632,-15.3,63,0,6.82,clear sky
19,Hilo,US,19.7297,-155.09,78.8,65,75,10.36,light rain
20,Tezu,IN,27.9167,96.1667,65.52,31,0,1.21,clear sky
21,Mar Del Plata,AR,-38.0023,-57.5575,70.0,94,75,4.61,mist
22,Mandalgovi,MN,45.7625,106.2708,-4.94,76,100,14.45,overcast clouds
23,Tasiilaq,GL,65.6145,-37.6368,9.46,93,100,10.69,snow
24,Klaksvik,FO,62.2266,-6.589,33.8,86,78,14.97,light snow
25,Mitsamiouli,KM,-11.3847,43.2844,80.64,70,0,4.97,clear sky
26,Punta Arenas,CL,-53.15,-70.9167,42.8,65,75,16.11,broken clouds
27,Upernavik,GL,72.7868,-56.1549,1.47,89,88,11.48,overcast clouds
28,Moose Factory,CA,51.2585,-80.6094,-4.0,84,1,3.44,clear sky
29,Avarua,CK,-21.2078,-159.775,87.8,66,40,16.11,scattered clouds
30,Vilhena,BR,-12.7406,-60.1458,69.94,96,98,3.18,overcast clouds
31,Albany,US,42.6001,-73.9662,28.99,76,100,8.52,light snow
32,Souillac,MU,-20.5167,57.5167,71.6,88,20,8.05,few clouds
33,Cherskiy,RU,68.75,161.3,-34.56,80,100,1.77,overcast clouds
34,Sola,VU,-13.8833,167.55,82.67,81,100,23.85,moderate rain
35,Chokurdakh,RU,70.6333,147.9167,-31.56,82,89,7.34,overcast clouds
36,Innisfail,AU,-17.5333,146.0333,83.23,69,100,6.26,overcast clouds
37,Cape Town,ZA,-33.9258,18.4232,66.0,82,0,12.66,clear sky
38,Bluff,NZ,-46.6,168.3333,73.0,61,100,5.99,light rain
39,Torbay,CA,47.6666,-52.7314,33.01,100,90,20.71,light snow
40,Yellowknife,CA,62.456,-114.3525,-11.0,70,75,8.05,light snow
41,Peniche,PT,39.3558,-9.3811,59.0,95,99,8.99,overcast clouds
42,Mount Gambier,AU,-37.8333,140.7667,68.0,42,40,19.57,scattered clouds
43,Kruisfontein,ZA,-34.0033,24.7314,70.0,83,99,1.01,overcast clouds
44,Kolosovka,RU,56.4678,73.611,31.26,98,100,16.08,overcast clouds
45,Dikson,RU,73.5069,80.5464,-23.46,85,100,7.65,overcast clouds
46,Dumbea,NC,-22.15,166.45,89.6,48,40,9.22,scattered clouds
47,Rehoboth,NA,-23.3167,17.0833,71.78,59,59,5.97,broken clouds
48,Rikitea,PF,-23.1203,-134.9692,80.53,70,26,8.5,scattered clouds
49,Saint-Augustin,CA,51.226,-58.6502,20.84,94,87,12.59,overcast clouds
50,Provideniya,RU,64.3833,-173.3,6.8,78,90,17.9,overcast clouds
51,Andros Town,BS,24.7,-77.7667,75.43,85,6,9.93,clear sky
52,Muisne,EC,0.6,-80.0333,77.27,86,100,3.96,light rain
53,Hofn,IS,64.2539,-15.2082,25.48,89,100,27.18,overcast clouds
54,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,29,5.99,scattered clouds
55,Tilichiki,RU,60.4667,166.1,-11.4,91,100,17.2,light snow
56,Kalmunai,LK,7.4167,81.8167,75.06,80,90,8.59,overcast clouds
